--------o,861727,481996,599891,352110,570588,156348,1098214,193016,0
-xo-----o,174,0,0,505,1519,1170,64,482,0
-xo-x-o-o,28,0,0,52,0,100,0,28,0
---o-----,754992,448464,812471,0,1078918,249652,730298,583750,623457
x--o-o---,0,3454,2999,0,5686,0,2646,1250,2937
xo-o-o--x,0,0,28,0,15,0,126,152,0
---o--x-o,995,1617,4876,0,5078,612,0,1162,0
---o-oxxo,0,26,187,0,255,0,0,0,0
o--oxoxxo,0,36,51,0,0,0,0,0,0
--o------,372104,278386,0,366383,731093,144910,270743,496242,574383
--o-x--o-,3204,631,0,2709,0,3181,885,0,3520
--o-x-oox,25,72,0,222,0,174,0,0,0
o--------,0,225784,549042,212374,809536,428538,597449,412446,390026
o---xo---,0,1642,1064,421,0,0,2522,5065,754
oo-xxo---,0,0,44,0,0,0,84,0,0
oo-xxoxo-,0,0,48,0,0,0,0,0,0
--o-x---o,110,1675,0,1508,0,1463,188,1139,0
--o-xxo-o,17,106,0,24,0,0,0,317,0
--o--x--o,1539,800,0,1358,1602,0,2151,506,0
-xo--xo-o,0,0,0,52,179,0,0,107,0
-xoo-xoxo,0,0,0,0,29,0,0,0,0
--o--o-x-,632,960,0,353,2765,0,2177,0,5670
o-o--o-xx,0,235,0,45,187,0,14,0,0
-o-------,803055,0,784478,502787,808244,533526,795234,228968,1105755
-o--x--o-,4790,0,6034,5059,0,4778,5615,0,4780
-ox-x-oo-,98,0,0,97,0,244,0,0,251
-oxox-oox,36,0,0,0,0,34,0,0,0
------o--,501905,474352,368767,191985,762649,375788,0,189226,808893
------oxo,205,2736,795,817,1096,540,0,0,0
o----xoxo,0,41,0,72,170,0,0,0,0
o-o-xxoxo,0,44,0,36,0,0,0,0,0
-o-o---x-,412,0,1723,0,2850,516,2859,0,1891
-o-o--oxx,16,0,18,0,50,25,0,0,0
-o-ooxoxx,0,0,35,0,0,0,0,0,0
-oo---x--,3358,0,0,1307,528,203,0,2740,1105
-oo--ox-x,173,0,0,190,254,0,0,15,0
-oooxox-x,32,0,0,0,0,0,0,41,0
--ox---o-,3276,645,0,0,3606,825,1998,0,1709
-ooxx--o-,315,0,0,0,0,18,137,0,271
----o----,185392,111310,282920,150860,0,228592,236741,183994,214806
--oxo----,644,12,0,0,0,385,938,508,396
-xoxo--o-,118,0,0,0,0,0,83,0,0
-xoxooxo-,33,0,0,0,0,0,0,0,0
-o---o-x-,1856,0,692,578,2093,0,2324,0,2802
-o-xoo-x-,50,0,0,0,0,0,326,0,81
xo-xoo-xo,0,0,0,0,0,0,35,0,0
x--o---o-,0,1411,5183,0,4523,2107,885,0,3615
x-oo--xo-,0,0,0,0,82,0,0,0,105
x-ooxoxo-,0,0,0,0,0,0,0,0,44
--o---o-x,2465,663,0,1633,3365,1153,0,1352,0
o-o-x-o-x,0,22,0,47,0,14,0,40,0
oxo-xoo-x,0,0,0,0,0,0,0,39,0
xoo------,0,0,0,3708,3998,2360,3237,2216,3223
xoo---o-x,0,0,0,194,18,105,0,182,0
xoox--oox,0,0,0,0,52,0,0,0,0
-------o-,1077969,200272,924445,532938,1005393,667981,1247099,0,963285
-x----oo-,1535,0,1293,0,698,370,0,0,1228
xx--o-oo-,0,0,18,0,0,45,0,0,42
xx--oooox,0,0,36,0,0,0,0,0,0
--o---x-o,558,16,0,1693,407,1070,0,155,0
-oo--xx-o,103,0,0,219,52,0,0,0,0
-ooxoxx-o,39,0,0,0,0,0,0,0,0
x---o-o--,0,1102,1594,125,0,707,0,80,308
x-x-o-oo-,0,23,0,66,0,30,0,0,172
--x---o-o,741,1242,0,100,423,0,0,1781,0
x-x-o-o-o,0,16,0,49,0,17,0,25,0
-x----o-o,1022,0,1477,258,2020,510,0,1962,0
xx-o--o-o,0,0,17,0,192,82,0,247,0
xx-o-ooxo,0,0,43,0,38,0,0,0,0
---o-ox--,1829,937,2155,0,5139,0,0,3652,2803
-o-o-ox-x,96,0,150,0,365,0,0,25,0
oo-oxox-x,0,0,31,0,0,0,0,29,0
x--o--o--,0,6315,4680,0,4147,1980,0,1201,6704
x--oo-o-x,0,0,193,0,0,159,0,0,0
xo-ooxo-x,0,0,46,0,0,0,0,0,0
xo----o--,0,0,1541,286,3656,1357,0,148,3666
xox-o-o--,0,0,0,0,0,38,0,0,28
xoxoo-o-x,0,0,0,0,0,43,0,0,0
o-xo-----,0,929,0,0,2066,2579,5661,1565,2043
o-xo---ox,0,106,0,0,136,20,94,0,0
o-xoo-xox,0,0,0,0,0,33,0,0,0
-----o---,1049831,577271,650746,369678,918336,0,1107184,655317,537948
o-x--o---,0,1626,0,292,1729,0,4088,1408,1006
o-x--oxo-,0,192,0,167,18,0,0,0,197
--xo--o--,3998,1379,0,0,1106,1052,0,1379,3344
x-xo--oo-,0,26,0,0,57,78,0,0,517
x-xoo-oox,0,39,0,0,0,47,0,0,0
-o-ox----,5809,0,6142,0,0,3119,3613,827,5670
oo-ox-x--,0,0,21,0,0,107,0,239,127
--o---ox-,1265,1047,0,395,3360,683,0,0,587
-xo---oxo,22,0,0,10,14,58,0,0,0
--o----xo,40,342,0,558,1597,829,188,0,0
--oo-x-xo,0,150,0,0,99,0,0,0,0
--ooxxoxo,0,48,0,0,0,0,0,0,0
o--x---o-,0,170,1209,0,3254,2049,1515,0,824
oo-x-x-o-,0,0,299,0,29,0,95,0,107
-o-xx--oo,171,0,256,0,0,21,326,0,0
-o-xxoxoo,44,0,32,0,0,0,0,0,0
---o-oxox,237,0,200,0,298,0,0,0,0
--ooxoxox,41,0,0,0,0,0,0,0,0
x-----o-o,0,1784,1607,39,410,228,0,1236,0
x--o--oxo,0,288,114,0,173,0,0,0,0
x--oxooxo,0,39,0,0,0,0,0,0,0
-x---o--o,1736,0,6459,296,4365,0,1091,2308,0
-x--oox-o,196,0,53,36,0,0,0,0,0
xx--ooxoo,0,0,45,35,0,0,0,0,0
o-----o-x,0,37,350,1016,351,2725,0,38,0
o---x-oox,0,0,20,149,0,135,0,0,0
oo--xxoox,0,0,44,34,0,0,0,0,0
---x---oo,2267,188,1242,0,2772,839,4162,0,0
x--xo--oo,0,250,150,0,0,24,23,0,0
xxoxo--oo,0,0,0,0,0,0,47,0,0
o--x-oxo-,0,0,131,0,105,0,0,0,0
----oo--x,521,0,122,666,0,0,1253,655,0
x---oo-ox,0,6,34,132,0,0,85,0,0
x-oxoo-ox,0,0,0,0,0,0,49,0,0
--x-o--o-,2050,2294,0,1276,0,2242,618,0,2068
--xoox-o-,242,235,0,0,0,0,77,0,28
o-----x-o,0,1109,2303,859,4364,262,0,463,0
o--ox-x-o,0,402,20,0,0,172,0,287,0
ox-ox-xoo,0,0,49,0,0,0,0,0,0
xo-o-----,0,0,3212,0,3169,2144,3010,658,6176
xo-o-xo--,0,0,178,0,175,0,0,0,378
xoxooxo--,0,0,0,0,0,0,0,0,43
o-o-x--xo,0,18,0,148,0,93,35,0,0
o-ooxx-xo,0,33,0,0,0,0,0,0,0
---xo---o,1844,504,466,0,0,196,561,0,0
x-oxo---o,0,95,0,0,0,43,17,26,0
xooxo--xo,0,0,0,0,0,0,38,0,0
o--o----x,0,455,1241,0,658,1007,3594,1169,0
oo-o---xx,0,0,178,0,29,113,20,0,0
oo-oox-xx,0,0,40,0,0,0,43,0,0
--ox-x-oo,131,15,0,0,22,0,55,0,0
-o-o--x--,1665,0,6582,0,4665,1511,0,2012,4497
-ooo--x-x,200,0,0,0,146,47,0,24,0
xoooo-x-x,0,0,0,0,0,0,0,39,0
---x--oo-,598,115,519,0,3035,1295,0,0,903
--ox-xoo-,146,16,0,0,22,0,0,0,64
o-ox-xoox,0,0,0,0,40,0,0,0,0
o----o--x,0,154,1208,152,1120,0,1549,2769,0
ox-o-o--x,0,0,0,0,122,0,8,78,0
oxoo-o-xx,0,0,0,0,33,0,32,0,0
-o----xo-,4135,0,3525,2049,5135,630,0,0,2150
-oox--xo-,23,0,0,0,102,42,0,0,23
-o---x-o-,1489,0,4090,2820,7371,0,1004,0,3910
-oo-xx-o-,144,0,0,22,0,0,58,0,121
ooxo-ox-x,0,0,0,0,39,0,0,37,0
---o-x-o-,1523,650,4060,0,3041,0,664,0,2497
-o-o-x-ox,153,0,27,0,406,0,54,0,0
-o-oxxoox,39,0,54,0,0,0,0,0,0
-x--o--o-,1447,0,2036,377,0,420,394,0,359
-xx-o--oo,29,0,0,89,0,39,147,0,0
-xxoox-oo,37,0,0,0,0,0,0,0,0
--o--x-o-,853,98,0,1459,1218,0,703,0,819
-oo--xxo-,51,0,0,120,78,0,0,0,0
-oo-xxxoo,0,0,0,41,0,0,0,0,0
--o--ox--,2354,145,0,1147,1976,0,0,2220,3016
-oo-xox--,111,0,0,20,0,0,0,0,96
-oo-xoxox,40,0,0,0,0,0,0,0,0
--o---xo-,2353,32,0,2551,1055,515,0,0,666
x-o--oxo-,0,44,0,24,122,0,0,0,171
xoo--oxox,0,0,0,31,37,0,0,0,0
x---o---o,0,2619,910,1501,0,417,2349,328,0
xx--o-o-o,0,0,22,72,0,79,0,127,0
o-ox-x-o-,0,121,0,0,19,0,0,0,16
oxox-xoo-,0,0,0,0,38,0,0,0,0
-ox---o--,997,0,0,1342,1930,3173,0,492,2323
ooxx--o--,0,0,0,0,81,428,0,0,73
ooxx-xoo-,0,0,0,0,48,0,0,0,41
--o-o---x,210,68,0,333,0,170,1131,656,0
-oo-o-x-x,71,0,0,85,0,26,0,17,0
-x-o-o---,3666,0,5498,0,6716,0,744,2119,1201
-xxo-o--o,26,0,0,0,491,0,177,253,0
-----o-xo,603,2019,3176,30,1374,0,808,0,0
---x-ooxo,0,34,0,0,111,0,0,0,0
ox-x-ooxo,0,0,0,0,37,0,0,0,0
-x-o--o--,4437,0,1826,0,4466,1104,0,1799,1692
xx-o-oo--,0,0,17,0,517,0,0,224,136
xx-oxooo-,0,0,47,0,0,0,0,0,34
x--o-oxo-,0,39,88,0,333,0,0,0,116
x-oo-oxox,0,0,0,0,48,0,0,0,0
o--oxox--,0,383,20,0,0,0,0,343,273
o----x-o-,0,323,3766,3088,5276,0,712,0,2363
o---xxoo-,0,62,187,28,0,0,0,0,183
-o-----xo,67,0,533,612,270,22,583,0,0
-oxo---xo,0,0,0,0,195,0,159,0,0
ooxox--xo,0,0,0,0,0,0,44,0,0
x-x-o--oo,0,22,0,42,0,20,125,0,0
x-xxoo-oo,0,37,0,0,0,0,44,0,0
oo----x--,0,0,5906,931,3300,1384,0,2326,2811
oo---oxx-,0,0,299,48,103,0,0,0,18
oox--oxxo,0,0,0,0,46,0,0,0,0
-x--o-o--,1019,0,1361,372,0,908,0,214,610
-xx-o-o-o,17,0,0,69,0,77,0,179,0
-xxoo-oxo,33,0,0,0,0,0,0,0,0
-o--xo---,4484,0,3812,1824,0,0,4124,2185,4905
oo--xo--x,0,0,142,0,0,0,235,6,0
oo--xoxox,0,0,49,0,0,0,0,0,0
oo---ox-x,0,0,303,27,153,0,0,15,0
o-o--x---,0,710,0,882,2510,0,119,362,2
o-ox-x--o,0,112,0,0,25,0,64,5,0
o-ox-xoxo,0,0,0,0,34,0,0,0,0
----x-oo-,5080,438,1072,1735,0,3021,0,0,3593
-o--x-oox,17,0,275,175,0,510,0,0,0
----o-x-o,1156,669,237,1082,0,145,0,57,0
x-o-o-x-o,0,82,0,16,0,89,0,58,0
xoo-oxx-o,0,0,0,35,0,0,0,0,0
--oo---x-,1983,2334,0,0,3882,410,921,0,3866
x-oo--ox-,0,145,0,0,288,0,0,0,91
xooo--oxx,0,0,0,0,47,0,0,0,0
xx-oo---o,0,0,25,0,0,236,5,47,0
o--o---x-,0,613,1310,0,5266,673,5890,0,969
oxoo---x-,0,0,0,0,15,43,317,0,127
oxooo--xx,0,0,0,0,0,0,40,0,0
--ox--o--,692,409,0,0,2747,842,0,238,463
x-ox--oo-,0,0,0,0,226,16,0,0,79
x-oxxooo-,0,0,0,0,0,0,0,0,43
x----o--o,0,1811,4041,1892,1594,0,4472,712,0
xx-o-o--o,0,0,17,0,113,0,66,41,0
xx-oxo-oo,0,0,36,0,0,0,0,0,0
o---x--o-,0,909,4909,2640,0,6320,2466,0,1593
o--ox--ox,0,0,108,0,0,31,189,0,0
ooxox--ox,0,0,0,0,0,48,41,0,0
-o----x-o,3105,0,1861,5233,2976,468,0,834,0
-o--o-xxo,65,0,0,18,0,0,0,0,0
xo--ooxxo,0,0,0,43,0,0,0,0,0
o--o--x--,0,2199,6437,0,4988,1760,0,3436,3712
o-oo--xx-,0,184,0,0,199,13,0,0,26
o-ooxoxx-,0,39,0,0,0,0,0,0,43
-o---o--x,2204,0,2094,1019,4674,0,4810,2680,0
-o--oo-xx,31,0,45,62,0,0,18,0,0
-oo-----x,3206,0,0,1857,3759,608,1901,2296,0
-oo-xo--x,17,0,0,156,0,0,205,114,0
-ooxxoo-x,35,0,0,0,0,0,0,0,0
-x--o-oxo,110,0,38,0,0,0,0,0,0
xx-oo-oxo,0,0,40,0,0,0,0,0,0
-oo--oxx-,152,0,0,100,31,0,0,0,27
-oooxoxx-,0,0,0,0,0,0,0,0,36
ox---xoo-,0,0,23,27,89,0,0,0,34
oxo-xxoo-,0,0,0,41,0,0,0,0,0
-o-xx-oo-,233,0,17,0,0,20,0,0,354
xo-xxooo-,0,0,0,0,0,0,0,0,39
xoo-x---o,0,0,0,135,0,61,101,0,0
xoo-xx-oo,0,0,0,40,0,0,0,0,0
-x-o----o,2125,0,3112,0,3369,116,1061,2724,0
xx-oxoo-o,0,0,50,0,0,0,0,40,0
-ooox-x--,190,0,0,0,0,0,0,69,111
-ooox-xox,42,0,0,0,0,0,0,0,0
-xo---o--,864,0,0,345,4170,481,0,497,466
oxo---ox-,0,0,0,44,15,39,0,0,67
oxox--oxo,0,0,0,0,27,0,0,0,0
--xoo----,881,1057,0,0,0,2063,677,457,1473
--xooxo--,219,137,0,0,0,0,0,64,25
x-xooxoo-,0,37,0,0,0,0,0,0,29
-oo--o-xx,317,0,0,24,147,0,23,0,0
-oo-xooxx,35,0,0,0,0,0,0,0,0
----ox-o-,541,961,3956,113,0,0,180,0,496
x----oo--,0,3310,2979,539,3996,0,0,1344,1032
x-x-ooo--,0,22,0,150,0,0,0,54,41
x-x-oooxo,0,46,0,0,0,0,0,0,0
o---x---o,0,4892,3889,3326,0,2444,3387,3815,0
o-x-xo--o,0,222,0,143,0,0,17,209,0
o-x-xooxo,0,28,0,0,0,0,0,0,0
oo-o-x-x-,0,0,56,0,0,0,0,0,198
oo-ooxxx-,0,0,0,0,0,0,0,0,36
o--x--xoo,0,0,53,0,248,148,0,0,0
o-oxx-xoo,0,0,0,0,0,42,0,0,0
---oo---x,262,192,1940,0,0,1168,1527,1170,0
o-xoo---x,0,15,0,0,0,21,113,198,0
xooo--xox,0,0,0,0,30,0,0,0,0
x--x-o-oo,0,160,387,0,7,0,22,0,0
xx-xoo-oo,0,0,43,0,0,0,44,0,0
-oox-----,4261,0,0,0,3848,1076,751,335,1319
xoox----o,0,0,0,0,176,216,19,97,0
